sample_id,region_id,T,F,P,En
hifigan_LA_D_1049549,14,speech,low,vowel,"From 0.7 to 1.0 seconds, this low-frequency region shows smeared or irregular harmonic energy with reduced spectral definition. Because the region is aligned with a vowel, the degraded harmonic structure can blur its resonance and make it sound synthetic."
hifigan_LA_D_1049549,15,speech,low,vowel,"From 2.17 to 2.54 seconds, this low-frequency region shows weakened and fragmented resonant structure. Because the region is aligned with a vowel, the loss of formant definition can reduce vowel clarity and natural resonance."
hifigan_LA_D_1049549,16,speech,low,consonant,"From 1.6 to 2.0 seconds, this low-frequency region shows overly regular, repeated spectral structure that is unlikely to arise from natural vocal variation. The region is aligned with a consonant, and the repeated structure can replace a natural transient with a robotic or mechanical pattern."
hifigan_LA_D_1052072,11,speech,mid,vowel,"From 2.65 to 2.86 seconds, this mid-frequency region shows smeared or irregular harmonic energy with reduced spectral definition. Because the region is aligned with a vowel, the degraded harmonic structure can blur its resonance and make it sound synthetic."
hifigan_LA_D_1052072,14,speech,low,vowel,"From 1.6 to 2.0 seconds, this low-frequency region shows weakened and fragmented resonant structure. Because the region is aligned with a vowel, the loss of formant definition can reduce vowel clarity and natural resonance."
hifigan_LA_D_1052072,15,speech,low,vowel,"From 3.18 to 3.24 seconds, this low-frequency region shows an unnaturally uniform noise floor with too little fine-grained spectral variation. This loss of spectral texture can weaken the natural resonance of the aligned vowel and make it sound hollow or synthetic."
hifigan_LA_D_1056044,11,speech,mid,vowel,"From 2.4 to 2.5 seconds, this mid-frequency region shows weakened and fragmented resonant structure. Because the region is aligned with a vowel, the loss of formant definition can reduce vowel clarity and natural resonance."
hifigan_LA_D_1056044,14,speech,low,consonant,"From 1.5 to 1.8 seconds, this low-frequency region shows overly regular, repeated spectral structure that is unlikely to arise from natural vocal variation. The region is aligned with a consonant, and the repeated structure can replace a natural transient with a robotic or mechanical pattern."
hifigan_LA_D_1056044,15,speech,low,vowel,"From 2.97 to 3.28 seconds, this low-frequency region shows weakened and fragmented resonant structure. Because the region is aligned with a vowel, the loss of formant definition can reduce vowel clarity and natural resonance."
hifigan_LA_D_1056334,7,speech,mid,vowel,"From 1.6 to 2.4 seconds, this mid-frequency region shows weakened and fragmented resonant structure. Because the region is aligned with a vowel, the loss of formant definition can reduce vowel clarity and natural resonance."
hifigan_LA_D_1056334,11,speech,mid,vowel,"From 2.0 to 2.4 seconds, this mid-frequency region shows smeared or irregular harmonic energy with reduced spectral definition. Because the region is aligned with a vowel, the degraded harmonic structure can blur its resonance and make it sound synthetic."
hifigan_LA_D_1056334,15,speech,low,vowel,"From 0.72 to 1.06 seconds, this low-frequency region shows smeared or irregular harmonic energy with reduced spectral definition. Because the region is aligned with a vowel, the degraded harmonic structure can blur its resonance and make it sound synthetic."
hifigan_LA_D_1060968,10,speech,mid,vowel,"This mid-frequency region shows weakened and fragmented resonant structure. Because the region is aligned with a vowel, the loss of formant definition can reduce vowel clarity and natural resonance."
hifigan_LA_D_1060968,14,speech,low,vowel,"From 2.96 to 3.58 seconds, this low-frequency region shows weakened and fragmented resonant structure. Because the region is aligned with a vowel, the loss of formant definition can reduce vowel clarity and natural resonance."
hifigan_LA_D_1060968,15,speech,low,vowel,"From 0.0 to 0.8 seconds, this low-frequency region shows an unnaturally uniform noise floor with too little fine-grained spectral variation. This loss of spectral texture can weaken the natural resonance of the aligned vowel and make it sound hollow or synthetic."
hifigan_LA_D_1069525,11,speech,mid,vowel,"From 2.80 to 3.01 seconds, this mid-frequency region shows weakened and fragmented resonant structure. Because the region is aligned with a vowel, the loss of formant definition can reduce vowel clarity and natural resonance."
hifigan_LA_D_1069525,15,speech,low,vowel,"From 2.80 to 3.01 seconds, this low-frequency region shows weakened and fragmented resonant structure. Because the region is aligned with a vowel, the loss of formant definition can reduce vowel clarity and natural resonance."
hifigan_LA_D_1072893,7,speech,mid,vowel,"From 2.4 to 2.65 seconds, this mid-frequency region shows smeared or irregular harmonic energy with reduced spectral definition. Because the region is aligned with a vowel, the degraded harmonic structure can blur its resonance and make it sound synthetic."
hifigan_LA_D_1072893,11,speech,mid,vowel,"From 2.43 to 2.65 seconds, this mid-frequency region shows weakened and fragmented resonant structure. Because the region is aligned with a vowel, the loss of formant definition can reduce vowel clarity and natural resonance."
hifigan_LA_D_1076361,15,speech,low,consonant,"From 0.5 to 0.7 seconds, this low-frequency region shows an unnaturally uniform noise floor with too little fine-grained spectral variation. This loss of fine spectral texture can suppress the transient or turbulent detail of the aligned consonant and make it sound dull or synthetic."
hifigan_LA_D_1076361,16,speech,low,vowel,"From 1.04 to 1.25 seconds, this low-frequency region shows an unnaturally uniform noise floor with too little fine-grained spectral variation. This loss of spectral texture can weaken the natural resonance of the aligned vowel and make it sound hollow or synthetic."
hifigan_LA_D_1084356,11,speech,mid,vowel,"From 2.0 to 2.4 seconds, this mid-frequency region shows weakened and fragmented resonant structure. Because the region is aligned with a vowel, the loss of formant definition can reduce vowel clarity and natural resonance."
hifigan_LA_D_1084356,12,speech,mid,consonant,"From 1.68 to 2.29 seconds, this mid-frequency region shows smeared or irregular harmonic energy with reduced spectral definition. The region is aligned with a consonant, and the smeared energy can reduce the sharpness of its onset and articulation."
hifigan_LA_D_1084356,15,speech,low,vowel,"From 0.8 to 1.0 seconds, this low-frequency region shows smeared or irregular harmonic energy with reduced spectral definition. Because the region is aligned with a vowel, the degraded harmonic structure can blur its resonance and make it sound synthetic."
hifigan_LA_D_1086391,11,speech,mid,vowel,"From 2.0 to 2.5 seconds, this mid-frequency region shows weakened and fragmented resonant structure. Because the region is aligned with a vowel, the loss of formant definition can reduce vowel clarity and natural resonance."
hifigan_LA_D_1086391,14,speech,low,consonant,"From 1.60 to 2.01 seconds, this low-frequency region shows an unnaturally uniform noise floor with too little fine-grained spectral variation. This loss of fine spectral texture can suppress the transient or turbulent detail of the aligned consonant and make it sound dull or synthetic."
hifigan_LA_D_1086391,15,speech,low,vowel,"From 1.6 to 2.0 seconds, this low-frequency region shows smeared or irregular harmonic energy with reduced spectral definition. Because the region is aligned with a vowel, the degraded harmonic structure can blur its resonance and make it sound synthetic."
hifigan_LA_D_1086824,11,speech,mid,consonant,"From 1.97 to 2.05 seconds, this mid-frequency region shows smeared or irregular harmonic energy with reduced spectral definition. The region is aligned with a consonant, and the smeared energy can reduce the sharpness of its onset and articulation."
hifigan_LA_D_1086824,15,speech,low,consonant,"From 1.55 to 1.78 seconds, this low-frequency region shows an unnaturally uniform noise floor with too little fine-grained spectral variation. This loss of fine spectral texture can suppress the transient or turbulent detail of the aligned consonant and make it sound dull or synthetic."
hifigan_LA_D_1090286,11,speech,mid,vowel,"From 2.43 to 2.57 seconds, this mid-frequency region shows weakened and fragmented resonant structure. Because the region is aligned with a vowel, the loss of formant definition can reduce vowel clarity and natural resonance."
hifigan_LA_D_1090286,15,speech,low,vowel,"From 2.33 to 2.43 seconds, this low-frequency region shows weakened and fragmented resonant structure. Because the region is aligned with a vowel, the loss of formant definition can reduce vowel clarity and natural resonance."
hifigan_LA_D_1090286,16,speech,low,consonant,"From 2.33 to 2.43 seconds, this low-frequency region shows smeared or irregular harmonic energy with reduced spectral definition. The region is aligned with a consonant, and the smeared energy can reduce the sharpness of its onset and articulation."
hifigan_LA_D_1091102,14,speech,low,vowel,"From 0.7 to 0.87 seconds, this low-frequency region shows smeared or irregular harmonic energy with reduced spectral definition. Because the region is aligned with a vowel, the degraded harmonic structure can blur its resonance and make it sound synthetic."
hifigan_LA_D_1091102,15,speech,low,vowel,"From 0.73 to 0.87 seconds, this low-frequency region shows smeared or irregular harmonic energy with reduced spectral definition. Because the region is aligned with a vowel, the degraded harmonic structure can blur its resonance and make it sound synthetic."
hifigan_LA_D_1091102,16,speech,low,consonant,"From 0.8 to 1.2 seconds, this low-frequency region shows an unnaturally uniform noise floor with too little fine-grained spectral variation. This loss of fine spectral texture can suppress the transient or turbulent detail of the aligned consonant and make it sound dull or synthetic."
hifigan_LA_D_1091602,14,speech,low,vowel,"From 3.13 to 3.34 seconds, this low-frequency region shows weakened and fragmented resonant structure. Because the region is aligned with a vowel, the loss of formant definition can reduce vowel clarity and natural resonance."
hifigan_LA_D_1091602,15,speech,low,vowel,"From 0.9 to 1.1 seconds, this low-frequency region shows smeared or irregular harmonic energy with reduced spectral definition. Because the region is aligned with a vowel, the degraded harmonic structure can blur its resonance and make it sound synthetic."
hifigan_LA_D_1091602,16,speech,low,consonant,"From 2.89 to 3.13 seconds, this low-frequency region shows an unnaturally uniform noise floor with too little fine-grained spectral variation. This loss of fine spectral texture can suppress the transient or turbulent detail of the aligned consonant and make it sound dull or synthetic."
hifigan_LA_D_1096053,14,speech,low,consonant,"From 2.16 to 2.37 seconds, this low-frequency region shows smeared or irregular harmonic energy with reduced spectral definition. The region is aligned with a consonant, and the smeared energy can reduce the sharpness of its onset and articulation."
hifigan_LA_D_1096053,15,speech,low,vowel,"From 2.55 to 2.91 seconds, this low-frequency region shows an unnaturally uniform noise floor with too little fine-grained spectral variation. This loss of spectral texture can weaken the natural resonance of the aligned vowel and make it sound hollow or synthetic."
hifigan_LA_D_1097170,6,speech,mid,consonant,"From 0.79 to 1.02 seconds, this mid-frequency region shows smeared or irregular harmonic energy with reduced spectral definition. The region is aligned with a consonant, and the smeared energy can reduce the sharpness of its onset and articulation."
hifigan_LA_D_1097170,10,speech,mid,consonant,"From 0.79 to 1.02 seconds, this mid-frequency region shows smeared or irregular harmonic energy with reduced spectral definition. The region is aligned with a consonant, and the smeared energy can reduce the sharpness of its onset and articulation."
hifigan_LA_D_1097170,14,speech,low,consonant,"From 0.79 to 1.02 seconds, this low-frequency region shows an unnaturally uniform noise floor with too little fine-grained spectral variation. This loss of fine spectral texture can suppress the transient or turbulent detail of the aligned consonant and make it sound dull or synthetic."
hifigan_LA_D_1101351,11,speech,mid,vowel,"From 2.2 to 2.4 seconds, this mid-frequency region shows weakened and fragmented resonant structure. Because the region is aligned with a vowel, the loss of formant definition can reduce vowel clarity and natural resonance."
hifigan_LA_D_1101351,15,speech,low,vowel,"From 0.96 to 1.18 seconds, this low-frequency region shows an unnaturally uniform noise floor with too little fine-grained spectral variation. This loss of spectral texture can weaken the natural resonance of the aligned vowel and make it sound hollow or synthetic."
hifigan_LA_D_1101351,16,speech,low,consonant,"From 1.98 to 2.50 seconds, this low-frequency region shows an unnaturally uniform noise floor with too little fine-grained spectral variation. This loss of fine spectral texture can suppress the transient or turbulent detail of the aligned consonant and make it sound dull or synthetic."
hifigan_LA_D_1105131,14,speech,low,consonant,"From 2.87 to 3.04 seconds, this low-frequency region shows an unnaturally uniform noise floor with too little fine-grained spectral variation. This loss of fine spectral texture can suppress the transient or turbulent detail of the aligned consonant and make it sound dull or synthetic."
hifigan_LA_D_1105489,10,speech,mid,consonant,"From 1.6 to 1.8 seconds, this mid-frequency region shows overly regular, repeated spectral structure that is unlikely to arise from natural vocal variation. The region is aligned with a consonant, and the repeated structure can replace a natural transient with a robotic or mechanical pattern."
hifigan_LA_D_1105489,14,speech,low,consonant,"From 1.94 to 2.42 seconds, this low-frequency region shows an unnaturally uniform noise floor with too little fine-grained spectral variation. This loss of fine spectral texture can suppress the transient or turbulent detail of the aligned consonant and make it sound dull or synthetic."
hifigan_LA_D_1105489,15,speech,low,vowel,"From 1.60 to 1.75 seconds, this low-frequency region shows smeared or irregular harmonic energy with reduced spectral definition. Because the region is aligned with a vowel, the degraded harmonic structure can blur its resonance and make it sound synthetic."
hifigan_LA_D_1105538,6,speech,mid,consonant,"From 0.97 to 1.13 seconds, this mid-frequency region shows smeared or irregular harmonic energy with reduced spectral definition. The region is aligned with a consonant, and the smeared energy can reduce the sharpness of its onset and articulation."
hifigan_LA_D_1105538,14,speech,low,consonant,"From 1.5 to 1.7 seconds, this low-frequency region shows overly regular, repeated spectral structure that is unlikely to arise from natural vocal variation. The region is aligned with a consonant, and the repeated structure can replace a natural transient with a robotic or mechanical pattern."
hifigan_LA_D_1107267,11,speech,mid,consonant,"From 2.4 to 2.6 seconds, this mid-frequency region shows overly regular, repeated spectral structure that is unlikely to arise from natural vocal variation. The region is aligned with a consonant, and the repeated structure can replace a natural transient with a robotic or mechanical pattern."
hifigan_LA_D_1107267,15,speech,low,consonant,"From 1.6 to 1.8 seconds, this low-frequency region shows overly regular, repeated spectral structure that is unlikely to arise from natural vocal variation. The region is aligned with a consonant, and the repeated structure can replace a natural transient with a robotic or mechanical pattern."
hifigan_LA_D_1107267,16,speech,low,consonant,"From 2.4 to 3.0 seconds, this low-frequency region shows an unnaturally uniform noise floor with too little fine-grained spectral variation. This loss of fine spectral texture can suppress the transient or turbulent detail of the aligned consonant and make it sound dull or synthetic."
hifigan_LA_D_1112296,14,speech,low,consonant,"From 2.49 to 2.91 seconds, this low-frequency region shows overly regular, repeated spectral structure that is unlikely to arise from natural vocal variation. The region is aligned with a consonant, and the repeated structure can replace a natural transient with a robotic or mechanical pattern."
hifigan_LA_D_1112296,15,speech,low,vowel,"From 1.72 to 2.25 seconds, this low-frequency region shows smeared or irregular harmonic energy with reduced spectral definition. Because the region is aligned with a vowel, the degraded harmonic structure can blur its resonance and make it sound synthetic."
hifigan_LA_D_1112296,16,speech,low,consonant,"From 1.6 to 2.0 seconds, this low-frequency region shows overly regular, repeated spectral structure that is unlikely to arise from natural vocal variation. The region is aligned with a consonant, and the repeated structure can replace a natural transient with a robotic or mechanical pattern."
hifigan_LA_D_1118564,11,speech,mid,vowel,"From 2.12 to 2.29 seconds, this mid-frequency region shows weakened and fragmented resonant structure. Because the region is aligned with a vowel, the loss of formant definition can reduce vowel clarity and natural resonance."
hifigan_LA_D_1118564,14,speech,low,consonant,"From 1.5 to 1.7 seconds, this low-frequency region shows an unnaturally uniform noise floor with too little fine-grained spectral variation. This loss of fine spectral texture can suppress the transient or turbulent detail of the aligned consonant and make it sound dull or synthetic."
hifigan_LA_D_1118564,15,speech,low,vowel,"From 0.0 to 0.8 seconds, this low-frequency region shows an unnaturally uniform noise floor with too little fine-grained spectral variation. This loss of spectral texture can weaken the natural resonance of the aligned vowel and make it sound hollow or synthetic."
hifigan_LA_D_1118839,6,speech,mid,consonant,"From 1.02 to 1.28 seconds, this mid-frequency region shows smeared or irregular harmonic energy with reduced spectral definition. The region is aligned with a consonant, and the smeared energy can reduce the sharpness of its onset and articulation."
hifigan_LA_D_1118839,15,speech,low,consonant,"From 0.87 to 1.02 seconds, this low-frequency region shows smeared or irregular harmonic energy with reduced spectral definition. The region is aligned with a consonant, and the smeared energy can reduce the sharpness of its onset and articulation."
hifigan_LA_D_1119156,11,speech,mid,consonant,"From 2.2 to 2.4 seconds, this mid-frequency region shows smeared or irregular harmonic energy with reduced spectral definition. The region is aligned with a consonant, and the smeared energy can reduce the sharpness of its onset and articulation."
hifigan_LA_D_1119156,15,speech,low,consonant,"From 0.8 to 1.0 seconds, this low-frequency region shows smeared or irregular harmonic energy with reduced spectral definition. The region is aligned with a consonant, and the smeared energy can reduce the sharpness of its onset and articulation."
hifigan_LA_D_1121142,7,speech,mid,consonant,"From 1.65 to 1.76 seconds, this mid-frequency region shows smeared or irregular harmonic energy with reduced spectral definition. The region is aligned with a consonant, and the smeared energy can reduce the sharpness of its onset and articulation."
hifigan_LA_D_1121142,11,speech,mid,consonant,"From 2.33 to 2.52 seconds, this mid-frequency region shows smeared or irregular harmonic energy with reduced spectral definition. The region is aligned with a consonant, and the smeared energy can reduce the sharpness of its onset and articulation."
hifigan_LA_D_1121142,14,speech,low,vowel,"From 1.39 to 1.65 seconds, this low-frequency region shows smeared or irregular harmonic energy with reduced spectral definition. Because the region is aligned with a vowel, the degraded harmonic structure can blur its resonance and make it sound synthetic."
hifigan_LA_D_1121887,12,speech,mid,consonant,This mid-frequency region shows an unnaturally uniform noise floor with too little fine-grained spectral variation. This loss of fine spectral texture can suppress the transient or turbulent detail of the aligned consonant and make it sound dull or synthetic.
hifigan_LA_D_1121887,15,speech,low,consonant,"From 2.78 to 3.30 seconds, this low-frequency region shows an unnaturally uniform noise floor with too little fine-grained spectral variation. This loss of fine spectral texture can suppress the transient or turbulent detail of the aligned consonant and make it sound dull or synthetic."
hifigan_LA_D_1121887,16,speech,low,consonant,This low-frequency region shows an unnaturally uniform noise floor with too little fine-grained spectral variation. This loss of fine spectral texture can suppress the transient or turbulent detail of the aligned consonant and make it sound dull or synthetic.
hifigan_LA_D_1123614,11,speech,mid,vowel,"From 0.84 to 1.16 seconds, this mid-frequency region shows weakened and fragmented resonant structure. Because the region is aligned with a vowel, the loss of formant definition can reduce vowel clarity and natural resonance."
hifigan_LA_D_1123614,14,speech,low,consonant,"From 1.25 to 1.85 seconds, this low-frequency region shows an unnaturally uniform noise floor with too little fine-grained spectral variation. This loss of fine spectral texture can suppress the transient or turbulent detail of the aligned consonant and make it sound dull or synthetic."
hifigan_LA_D_1123614,15,speech,low,vowel,"From 0.74 to 0.84 seconds, this low-frequency region shows smeared or irregular harmonic energy with reduced spectral definition. Because the region is aligned with a vowel, the degraded harmonic structure can blur its resonance and make it sound synthetic."
hifigan_LA_D_1125976,10,speech,mid,vowel,"From 1.59 to 1.96 seconds, this mid-frequency region shows smeared or irregular harmonic energy with reduced spectral definition. Because the region is aligned with a vowel, the degraded harmonic structure can blur its resonance and make it sound synthetic."
hifigan_LA_D_1125976,14,speech,low,vowel,"From 1.96 to 2.33 seconds, this low-frequency region shows an unnaturally uniform noise floor with too little fine-grained spectral variation. This loss of spectral texture can weaken the natural resonance of the aligned vowel and make it sound hollow or synthetic."
hifigan_LA_D_1125976,15,speech,low,consonant,"From 0.8 to 1.0 seconds, this low-frequency region shows smeared or irregular harmonic energy with reduced spectral definition. The region is aligned with a consonant, and the smeared energy can reduce the sharpness of its onset and articulation."
hifigan_LA_D_1126907,15,speech,low,vowel,"From 2.91 to 3.03 seconds, this low-frequency region shows weakened and fragmented resonant structure. Because the region is aligned with a vowel, the loss of formant definition can reduce vowel clarity and natural resonance."
hifigan_LA_D_1126907,16,speech,low,vowel,"From 0.97 to 1.08 seconds, this low-frequency region shows smeared or irregular harmonic energy with reduced spectral definition. Because the region is aligned with a vowel, the degraded harmonic structure can blur its resonance and make it sound synthetic."
hifigan_LA_D_1129909,14,speech,low,consonant,"From 1.12 to 1.35 seconds, this low-frequency region shows an unnaturally uniform noise floor with too little fine-grained spectral variation. This loss of fine spectral texture can suppress the transient or turbulent detail of the aligned consonant and make it sound dull or synthetic."
hifigan_LA_D_1129909,15,speech,low,consonant,This low-frequency region shows an unnaturally uniform noise floor with too little fine-grained spectral variation. This loss of fine spectral texture can suppress the transient or turbulent detail of the aligned consonant and make it sound dull or synthetic.
hifigan_LA_D_1130470,16,speech,low,consonant,"From 1.68 to 1.80 seconds, this low-frequency region shows smeared or irregular harmonic energy with reduced spectral definition. The region is aligned with a consonant, and the smeared energy can reduce the sharpness of its onset and articulation."
hifigan_LA_D_1131723,10,speech,mid,vowel,"From 1.26 to 1.57 seconds, this mid-frequency region shows weakened and fragmented resonant structure. Because the region is aligned with a vowel, the loss of formant definition can reduce vowel clarity and natural resonance."
hifigan_LA_D_1131723,11,speech,mid,vowel,"This mid-frequency region shows weakened and fragmented resonant structure. Because the region is aligned with a vowel, the loss of formant definition can reduce vowel clarity and natural resonance."
hifigan_LA_D_1131723,15,speech,low,vowel,"From 0.68 to 0.91 seconds, this low-frequency region shows an unnaturally uniform noise floor with too little fine-grained spectral variation. This loss of spectral texture can weaken the natural resonance of the aligned vowel and make it sound hollow or synthetic."
hifigan_LA_D_1133069,10,speech,mid,consonant,"From 1.53 to 1.67 seconds, this mid-frequency region shows smeared or irregular harmonic energy with reduced spectral definition. The region is aligned with a consonant, and the smeared energy can reduce the sharpness of its onset and articulation."
hifigan_LA_D_1133069,15,speech,low,vowel,"From 0.6 to 0.8 seconds, this low-frequency region shows smeared or irregular harmonic energy with reduced spectral definition. Because the region is aligned with a vowel, the degraded harmonic structure can blur its resonance and make it sound synthetic."
hifigan_LA_D_1133069,16,speech,low,vowel,"From 2.30 to 2.83 seconds, this low-frequency region shows an unnaturally uniform noise floor with too little fine-grained spectral variation. This loss of spectral texture can weaken the natural resonance of the aligned vowel and make it sound hollow or synthetic."
hifigan_LA_D_1133168,14,speech,low,vowel,"From 1.75 to 2.16 seconds, this low-frequency region shows smeared or irregular harmonic energy with reduced spectral definition. Because the region is aligned with a vowel, the degraded harmonic structure can blur its resonance and make it sound synthetic."
hifigan_LA_D_1133168,15,speech,low,consonant,"From 1.75 to 2.16 seconds, this low-frequency region shows an unnaturally uniform noise floor with too little fine-grained spectral variation. This loss of fine spectral texture can suppress the transient or turbulent detail of the aligned consonant and make it sound dull or synthetic."
hifigan_LA_D_1133168,16,speech,low,consonant,"From 3.25 to 3.49 seconds, this low-frequency region shows a weak, smeared spectral transition with missing transient detail. Because the region is aligned with a consonant, the loss of transient definition can directly reduce articulation and intelligibility."
hifigan_LA_D_1133998,14,speech,low,vowel,"From 1.21 to 1.44 seconds, this low-frequency region shows weakened and fragmented resonant structure. Because the region is aligned with a vowel, the loss of formant definition can reduce vowel clarity and natural resonance."
hifigan_LA_D_1133998,15,speech,low,vowel,"From 2.4 to 2.6 seconds, this low-frequency region shows weakened and fragmented resonant structure. Because the region is aligned with a vowel, the loss of formant definition can reduce vowel clarity and natural resonance."
hifigan_LA_D_1133998,16,speech,low,consonant,"From 2.4 to 2.8 seconds, this low-frequency region shows an unnaturally uniform noise floor with too little fine-grained spectral variation. This loss of fine spectral texture can suppress the transient or turbulent detail of the aligned consonant and make it sound dull or synthetic."
hifigan_LA_D_1144331,11,speech,mid,vowel,"From 2.14 to 2.58 seconds, this mid-frequency region shows weakened and fragmented resonant structure. Because the region is aligned with a vowel, the loss of formant definition can reduce vowel clarity and natural resonance."
hifigan_LA_D_1144331,14,speech,low,vowel,"From 2.14 to 2.58 seconds, this low-frequency region shows weakened and fragmented resonant structure. Because the region is aligned with a vowel, the loss of formant definition can reduce vowel clarity and natural resonance."
hifigan_LA_D_1144331,15,speech,low,vowel,"From 2.14 to 2.58 seconds, this low-frequency region shows smeared or irregular harmonic energy with reduced spectral definition. Because the region is aligned with a vowel, the degraded harmonic structure can blur its resonance and make it sound synthetic."
hifigan_LA_D_1152692,6,speech,mid,consonant,"This mid-frequency region shows overly regular, repeated spectral structure that is unlikely to arise from natural vocal variation. The region is aligned with a consonant, and the repeated structure can replace a natural transient with a robotic or mechanical pattern."
hifigan_LA_D_1152692,10,speech,mid,consonant,"From 1.58 to 1.80 seconds, this mid-frequency region shows overly regular, repeated spectral structure that is unlikely to arise from natural vocal variation. The region is aligned with a consonant, and the repeated structure can replace a natural transient with a robotic or mechanical pattern."
hifigan_LA_D_1152692,14,speech,low,consonant,"From 1.80 to 2.03 seconds, this low-frequency region shows smeared or irregular harmonic energy with reduced spectral definition. The region is aligned with a consonant, and the smeared energy can reduce the sharpness of its onset and articulation."
hifigan_LA_D_1156906,15,speech,low,consonant,"From 2.64 to 2.72 seconds, this low-frequency region shows an unnaturally uniform noise floor with too little fine-grained spectral variation. This loss of fine spectral texture can suppress the transient or turbulent detail of the aligned consonant and make it sound dull or synthetic."
hifigan_LA_D_1156906,16,speech,low,vowel,"From 1.5 to 2.0 seconds, this low-frequency region shows smeared or irregular harmonic energy with reduced spectral definition. Because the region is aligned with a vowel, the degraded harmonic structure can blur its resonance and make it sound synthetic."
hifigan_LA_D_1158837,11,speech,mid,vowel,"From 1.78 to 2.41 seconds, this mid-frequency region shows weakened and fragmented resonant structure. Because the region is aligned with a vowel, the loss of formant definition can reduce vowel clarity and natural resonance."
hifigan_LA_D_1158837,12,speech,mid,consonant,"From 1.78 to 2.41 seconds, this mid-frequency region shows smeared or irregular harmonic energy with reduced spectral definition. The region is aligned with a consonant, and the smeared energy can reduce the sharpness of its onset and articulation."
hifigan_LA_D_1158837,15,speech,low,vowel,"From 0.97 to 1.08 seconds, this low-frequency region shows an unnaturally uniform noise floor with too little fine-grained spectral variation. This loss of spectral texture can weaken the natural resonance of the aligned vowel and make it sound hollow or synthetic."
hifigan_LA_D_1161800,12,speech,mid,consonant,"This mid-frequency region shows smeared or irregular harmonic energy with reduced spectral definition. The region is aligned with a consonant, and the smeared energy can reduce the sharpness of its onset and articulation."
